File	Id	Title	Catalogue number	Date of publication	Number of entries	Number of desc	Collaborator	Title of the catalogue
file:/Users/gabaysimon/GitHub/Data/1-100/CAT_000053.xml	CAT_000053	RDA, N°65 (Novembre 1880)	65	1880-11	220	220	Lucie Rondeau du Noyer	REVUE DES AUTOGRAPHES, DES CURIOSITÉS DE L'HISTOIRE ET DE LA BIOGRAPHIE
file:/Users/gabaysimon/GitHub/Data/1-100/CAT_000054.xml	CAT_000054	RDA, N°66 (Janvier 1881)	66	1881-01	150	150	Lucie Rondeau du Noyer	REVUE DES AUTOGRAPHES, DES CURIOSITÉS DE L'HISTOIRE ET DE LA BIOGRAPHIE
file:/Users/gabaysimon/GitHub/Data/1-100/CAT_000055.xml	CAT_000055	RDA, N°67 (Mars 1881)	67	1881-03	193	193	Lucie Rondeau du Noyer	REVUE DES AUTOGRAPHES, DES CURIOSITÉS DE L'HISTOIRE ET DE LA BIOGRAPHIE
file:/Users/gabaysimon/GitHub/Data/1-100/CAT_000056.xml	CAT_000056	RDA, N°68 (Mai 1881)	68	1881-05	127	127	Lucie Rondeau du Noyer	REVUE DES AUTOGRAPHES, DES CURIOSITÉS DE L'HISTOIRE ET DE LA BIOGRAPHIE
file:/Users/gabaysimon/GitHub/Data/1-100/CAT_000057.xml	CAT_000057	RDA, N°69 (Octobre 1881)	69	1881-10	99	141	Lucie Rondeau du Noyer	REVUE DES AUTOGRAPHES, DES CURIOSITÉS DE L'HISTOIRE ET DE LA BIOGRAPHIE
file:/Users/gabaysimon/GitHub/Data/1-100/CAT_000058.xml	CAT_000058	RDA, N°70 (Novembre 1881)	70	1881-11	137	137	Lucie Rondeau du Noyer	REVUE DES AUTOGRAPHES, DES CURIOSITÉS DE L'HISTOIRE ET DE LA BIOGRAPHIE
file:/Users/gabaysimon/GitHub/Data/1-100/CAT_000059.xml	CAT_000059	RDA, N°71 (Février 1882)	71	1882-02	23	23	Lucie Rondeau du Noyer	REVUE DES AUTOGRAPHES, DES CURIOSITÉS DE L'HISTOIRE ET DE LA BIOGRAPHIE
file:/Users/gabaysimon/GitHub/Data/1-100/CAT_000060.xml	CAT_000060	RDA, N°72 (Mars 1882)	72	1882-03	38	39	Lucie Rondeau du Noyer	REVUE DES AUTOGRAPHES, DES CURIOSITÉS DE L'HISTOIRE ET DE LA BIOGRAPHIE
file:/Users/gabaysimon/GitHub/Data/1-100/CAT_000061.xml	CAT_000061	RDA, N°73 (Mai 1882)	73	1882-05	146	147	Lucie Rondeau du Noyer	REVUE DES AUTOGRAPHES, DES CURIOSITÉS DE L'HISTOIRE ET DE LA BIOGRAPHIE
file:/Users/gabaysimon/GitHub/Data/1-100/CAT_000062.xml	CAT_000062	RDA, N°74 (Octobre 1882)	74	1882-10	154	156	Lucie Rondeau du Noyer	REVUE DES AUTOGRAPHES, DES CURIOSITÉS DE L'HISTOIRE ET DE LA BIOGRAPHIE
file:/Users/gabaysimon/GitHub/Data/1-100/CAT_000063.xml	CAT_000063	RDA, N°75 (Janvier 1883)	75	1883-01	148	151	Lucie Rondeau du Noyer	REVUE DES AUTOGRAPHES, DES CURIOSITÉS DE L'HISTOIRE ET DE LA BIOGRAPHIE
file:/Users/gabaysimon/GitHub/Data/1-100/CAT_000064.xml	CAT_000064	RDA, N°77 (Mars 1883)	77	1883-03	167	167	Lucie Rondeau du Noyer	REVUE DES AUTOGRAPHES, DES CURIOSITÉS DE L'HISTOIRE ET DE LA BIOGRAPHIE
file:/Users/gabaysimon/GitHub/Data/1-100/CAT_000065.xml	CAT_000065	RDA, N°78 (Avril 1883)	78	1883-04	163	164	Lucie Rondeau du Noyer	REVUE DES AUTOGRAPHES, DES CURIOSITÉS DE L'HISTOIRE ET DE LA BIOGRAPHIE
file:/Users/gabaysimon/GitHub/Data/1-100/CAT_000066.xml	CAT_000066	RDA, N°79 (Mai 1883)	79	1883-05	45	45	Lucie Rondeau du Noyer	REVUE DES AUTOGRAPHES, DES CURIOSITÉS DE L'HISTOIRE ET DE LA BIOGRAPHIE
file:/Users/gabaysimon/GitHub/Data/1-100/CAT_000067.xml	CAT_000067	RDA, N°80 (Octobre 1883)	80	1883-10	168	169	Lucie Rondeau du Noyer	REVUE DES AUTOGRAPHES, DES CURIOSITÉS DE L'HISTOIRE ET DE LA BIOGRAPHIE
file:/Users/gabaysimon/GitHub/Data/1-100/CAT_000068.xml	CAT_000068	RDA, N°81 (Décembre 1883)	81	1883-12	83	83	Lucie Rondeau du Noyer	REVUE DES AUTOGRAPHES, DES CURIOSITÉS DE L'HISTOIRE ET DE LA BIOGRAPHIE
file:/Users/gabaysimon/GitHub/Data/1-100/CAT_000069.xml	CAT_000069	RDA, N°82 (Février 1884)	82	1884-02	217	217	Lucie Rondeau du Noyer	REVUE DES AUTOGRAPHES, DES CURIOSITÉS DE L'HISTOIRE ET DE LA BIOGRAPHIE
file:/Users/gabaysimon/GitHub/Data/1-100/CAT_000070.xml	CAT_000070	RDA, N°83 (Mars 1884)	83	1884-03	105	106	Lucie Rondeau du Noyer	REVUE DES AUTOGRAPHES, DES CURIOSITÉS DE L'HISTOIRE ET DE LA BIOGRAPHIE
file:/Users/gabaysimon/GitHub/Data/1-100/CAT_000071.xml	CAT_000071	RDA, N°84 (Avril 1884)	84	1884-04	134	136	Lucie Rondeau du Noyer	REVUE DES AUTOGRAPHES, DES CURIOSITÉS DE L'HISTOIRE ET DE LA BIOGRAPHIE
file:/Users/gabaysimon/GitHub/Data/1-100/CAT_000072.xml	CAT_000072	RDA, N°85 (Octobre 1884)	85	1884-10	140	140	Lucie Rondeau du Noyer	REVUE DES AUTOGRAPHES, DES CURIOSITÉS DE L'HISTOIRE ET DE LA BIOGRAPHIE
file:/Users/gabaysimon/GitHub/Data/1-100/CAT_000073.xml	CAT_000073	RDA, N°86 (Novembre 1884)	86	1884-11	73	95	Lucie Rondeau du Noyer	REVUE DES AUTOGRAPHES, DES CURIOSITÉS DE L'HISTOIRE ET DE LA BIOGRAPHIE
file:/Users/gabaysimon/GitHub/Data/1-100/CAT_000074.xml	CAT_000074	RDA, N°87 (Décembre 1884)	87	1884-12	108	112	Lucie Rondeau du Noyer	REVUE DES AUTOGRAPHES, DES CURIOSITÉS DE L'HISTOIRE ET DE LA BIOGRAPHIE
file:/Users/gabaysimon/GitHub/Data/1-100/CAT_000075.xml	CAT_000075	RDA, N°88 (Février 1885)	88	1885-02	198	201	Lucie Rondeau du Noyer	REVUE DES AUTOGRAPHES, DES CURIOSITÉS DE L'HISTOIRE ET DE LA BIOGRAPHIE
file:/Users/gabaysimon/GitHub/Data/1-100/CAT_000076.xml	CAT_000076	RDA, N°89 (Mars 1885)	89	1885-03	157	160	Lucie Rondeau du Noyer	REVUE DES AUTOGRAPHES, DES CURIOSITÉS DE L'HISTOIRE ET DE LA BIOGRAPHIE
file:/Users/gabaysimon/GitHub/Data/1-100/CAT_000077.xml	CAT_000077	RDA, N°90 (Avril 1885)	90	1885-04	187	188	Lucie Rondeau du Noyer	REVUE DES AUTOGRAPHES, DES CURIOSITÉS DE L'HISTOIRE ET DE LA BIOGRAPHIE
file:/Users/gabaysimon/GitHub/Data/1-100/CAT_000078.xml	CAT_000078	RDA, N°91 (Mai 1885)	91	1885-05	125	133	Lucie Rondeau du Noyer	REVUE DES AUTOGRAPHES, DES CURIOSITÉS DE L'HISTOIRE ET DE LA BIOGRAPHIE
file:/Users/gabaysimon/GitHub/Data/1-100/CAT_000079.xml	CAT_000079	RDA, N°92 (Septembre-octobre 1885)	92	1885-09	185	185	Lucie Rondeau du Noyer	REVUE DES AUTOGRAPHES, DES CURIOSITÉS DE L'HISTOIRE ET DE LA BIOGRAPHIE
file:/Users/gabaysimon/GitHub/Data/1-100/CAT_000080.xml	CAT_000080	RDA, N°93 (Octobre 1885)	93	1885-10	183	188	Lucie Rondeau du Noyer	REVUE DES AUTOGRAPHES, DES CURIOSITÉS DE L'HISTOIRE ET DE LA BIOGRAPHIE
file:/Users/gabaysimon/GitHub/Data/1-100/CAT_000081.xml	CAT_000081	RDA, N°25 (Mars 1870)	25	1870-03	167	167	Lucie Rondeau du Noyer	REVUE DES AUTOGRAPHES, DES CURIOSITÉS DE L'HISTOIRE ET DE LA BIOGRAPHIE
file:/Users/gabaysimon/GitHub/Data/1-100/CAT_000082.xml	CAT_000082	RDA, N°26 (Juillet 1870)	26	1870-07	220	220	Lucie Rondeau du Noyer	REVUE DES AUTOGRAPHES, DES CURIOSITÉS DE L'HISTOIRE ET DE LA BIOGRAPHIE
file:/Users/gabaysimon/GitHub/Data/1-100/CAT_000083.xml	CAT_000083	RDA, N°27 (Juillet 1871)	27	1871-07	245	245	Lucie Rondeau du Noyer	REVUE DES AUTOGRAPHES, DES CURIOSITÉS DE L'HISTOIRE ET DE LA BIOGRAPHIE
file:/Users/gabaysimon/GitHub/Data/1-100/CAT_000084.xml	CAT_000084	RDA, N°50 (Janvier 1877)	50	1877-01	120	123	Lucie Rondeau du Noyer	REVUE DES AUTOGRAPHES, DES CURIOSITÉS DE L'HISTOIRE ET DE LA BIOGRAPHIE
file:/Users/gabaysimon/GitHub/Data/1-100/CAT_000085.xml	CAT_000085	RDA, N°28 (Août 1871)	28	1871-08	261	261	Lucie Rondeau du Noyer	REVUE DES AUTOGRAPHES, DES CURIOSITÉS DE L'HISTOIRE ET DE LA BIOGRAPHIE
file:/Users/gabaysimon/GitHub/Data/1-100/CAT_000086.xml	CAT_000086	RDA, N°60 (Février 1877)	60	1880-01	198	200	Lucie Rondeau du Noyer	REVUE DES AUTOGRAPHES, DES CURIOSITÉS DE L'HISTOIRE ET DE LA BIOGRAPHIE
file:/Users/gabaysimon/GitHub/Data/1-100/CAT_000087.xml	CAT_000087	RDA, N°94 (Novembre 1885)	94	1885-11	202	214	Lucie Rondeau du Noyer	REVUE DES AUTOGRAPHES, DES CURIOSITÉS DE L'HISTOIRE ET DE LA BIOGRAPHIE
file:/Users/gabaysimon/GitHub/Data/1-100/CAT_000088.xml	CAT_000088	RDA, N°95 (Décembre 1885)	95	1885-12	141	142	Lucie Rondeau du Noyer	REVUE DES AUTOGRAPHES, DES CURIOSITÉS DE L'HISTOIRE ET DE LA BIOGRAPHIE
file:/Users/gabaysimon/GitHub/Data/1-100/CAT_000089.xml	CAT_000089	Vente Bodin, 20-21/06/2019		2019	1	1	Simon Gabay	Lettres et manuscrits autographes
file:/Users/gabaysimon/GitHub/Data/1-100/CAT_000090.xml	CAT_000090	Vente Bodin, 16/05/2018		2019	1	1	Simon Gabay	Lettres et manuscrits autographes
file:/Users/gabaysimon/GitHub/Data/1-100/CAT_000091.xml	CAT_000091	Collection Germain Garnier		1822	16	94	Simon Gabay	Catalogue des livres, imprimés et manuscrits de la bibliothèque de feu M. le marquis Germain Garnier
file:/Users/gabaysimon/GitHub/Data/1-100/CAT_000092.xml	CAT_000092	Collection Markham Sherwill		1824	21	24	Simon Gabay	A catalogue of a valuable collection of autograph letters of distinguished persons from the reign of Elizabeth to that of James II
file:/Users/gabaysimon/GitHub/Data/1-100/CAT_000093.xml	CAT_000093	Collection Jacob		1829	1	2	Simon Gabay	Catalogue d'un choix de livres des plus précieux […], manuscrits, autographes  de la bibliothèque de M. le C... J..
file:/Users/gabaysimon/GitHub/Data/1-100/CAT_000094.xml	CAT_000094	Vente Techener, 31/01/1831		1831	56	56	Simon Gabay	Catalogue de livres rares et curieux et collection de lettres autographes
file:/Users/gabaysimon/GitHub/Data/1-100/CAT_000095.xml	CAT_000095	Collection Bruyères-Chalabre		1833	1	16	Simon Gabay	Catalogue des livres imprimés et manuscrits et des autographes, composant le cabinet de feu M. de Bruyères Chalabre
file:/Users/gabaysimon/GitHub/Data/1-100/CAT_000096.xml	CAT_000096	Collection Pixérécourt		1840	39	40	Simon Gabay	Autographes et manuscrits de M. G. Pixerécourt
file:/Users/gabaysimon/GitHub/Data/1-100/CAT_000097.xml	CAT_000097	Collection Walpole		1842	1	2	Simon Gabay	Strawberry Hill, the renowned seat of Horace Walpole. Mr. George Robins is honoured by having been selected by the earl of Waldegrave, to sell by public competition, the valuable contents. 25th Apr., 1842, and 23 following days of Strawberry Hill […]
file:/Users/gabaysimon/GitHub/Data/1-100/CAT_000098.xml	CAT_000098	Collection Dolomieu et Libri		1843	4	5	Simon Gabay	Catalogue d’une belle collection de lettres autographes
file:/Users/gabaysimon/GitHub/Data/1-100/CAT_000099.xml	CAT_000099	RDA, N°96 (Janvier 1886)	96	1886-01	211	216	Simon Gabay	REVUE DES AUTOGRAPHES, DES CURIOSITÉS DE L'HISTOIRE ET DE LA BIOGRAPHIE
file:/Users/gabaysimon/GitHub/Data/1-100/CAT_000100.xml	CAT_000100	RDA, N°97 (Février 1886)	97	1886-02	350	348	Simon Gabay	REVUE DES AUTOGRAPHES, DES CURIOSITÉS DE L'HISTOIRE ET DE LA BIOGRAPHIE
file:/Users/gabaysimon/GitHub/Data/101-200/CAT_000101.xml	CAT_000101	RDA, N°98 (Mars-Avril 1886)	98	1886-03	254	257	Simon Gabay	REVUE DES AUTOGRAPHES, DES CURIOSITÉS DE L'HISTOIRE ET DE LA BIOGRAPHIE
file:/Users/gabaysimon/GitHub/Data/101-200/CAT_000102.xml	CAT_000102	RDA, N°99 (Mai-Juillet 1886)	99	1886-05	291	297	Simon Gabay	REVUE DES AUTOGRAPHES, DES CURIOSITÉS DE L'HISTOIRE ET DE LA BIOGRAPHIE
